Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
bzpř	synspermiatic (haplogyne) spider 3	woodlouse hunter/cell spider/sowbug-eating spider (Dysderidae)	tube-dwelling spider/tubeweb spider (Segestriidae)	orsolobid spider (Orsolobidae)												
bzpw	primitive araneomorphic spider 1	lampshade spider (genera Ectatosticta, Hypochilus)	crevice weaver spider (Filistatidae)	austrochilid spider (genera Austrochilus, Thaida)												
bzpy	primitive araneomorphic spider 2	large-clawed spider (Gradungulidae except Hickmania)	Tasmanian cave spider (genus Hickmania)	leptonetid spider (Leptonetidae)												
bzr	vole/lemming/muskrat	vole, water vole, mole-vole, snow vole, tree vole, heather vole (Arvicolini, Ellobiusini, Myodini, Phenacomyini, Pliomyini, Prometheomyini)	lemming, steppe lemming, bog lemming, collared lemming (Lemmini, Lagurini, Dicrostonychini)	muskrat (genera Ondatra, Neofiber)												
bzř	hamster	🐹 hamster (genera Cricetus, Allocricetulus, Cansumys, Tscherskia)	golden hamster (genus Mesocricetus)	dwarf hamster (genera Cricetulus, Nothocricetulus, Phodopus, Urocricetus)												
bžr	oceanic dolphin	dolphin (genera Delphinus, Tursiops, Lissodelphis, Sotalia, Sousa, Stenella, Cephalorhyncus, Grampus, Lagenodelphis, Lagenorhyncus, Steno)	killer whale (genus Orcinus)	pygmy killer whale, false killer whale (genera Feresa, Pseudorca)												
bžř	unusual oceanic dolphin	pilot whale (genus Globicephala)	melon-headed whale (genus Peponocephala)	snubfin dolphin (genus Orcaella)												
bzt	determination/eagerness/zeal	determination/earnestness	eagerness/fervor	zeal/zealotry/fanaticism												
bztl	bromine	bromine	Br cation	Br anion												
bztļ	tennessine	tennessine	Ts cation	Ts anion												
bztr	iodine	iodine	I cation	I anion												
bztř	astatine	astatine	At cation	At anion												
bztw	fluorine	fluorine	F cation	F anion												
bzty	chlorine	chlorine	Cl cation	Cl anion												
bzv	satisfaction on travelling	openness to adventure	itch to travel	bittersweet loneliness of not being able to share the joy of adventure with others												
bžv	mushroom shape	mushroom shape outline	mushroom shape	negative space of a mushroom shape												
bzvl	hygrophoraceae 2	coral/antler/finger/clavariaceous fungus or worm mold/spaghetti mushroom (Clavariaceae)	typhulaceous mushroom (Typhulaceae)	other hygrophoriine fungus/mushroom (other Hygrophoriineae)												
bzvw	schizophyllineae	schizophyllaceous mushroom (genera Auriculariopsis, Schizophyllum)	beefsteak/ox tongue mushroom (genus Fistulina)	other fistulinaceous mushroom (other Fistulinaceae)												
bzvy	hygrophoraceae 1	woodwax/waxy cap, herald of winter (genus Hygrophorus)	waxcap mushroom (genus Hygrocybe)	other hygrophoraceous mushroom (other Hygrophoraceae)												
bzw	beaver	🦫 North American beaver (Castor canadensis)	Eurasian beaver (Castor fiber)	mountain beaver (genus Aplodontia)												
bžw	sperm whale	sperm whale (genus Physeter)	pygmy sperm whale (Kogia breviceps)	dwarf sperm whale (Kogia sima)												
bzx	malpighiaceae 1	Singapore holly, Barbados cherry/acerola, bristly stingingbush, cowhage (genus Malpighia)	moth fruit (genus Acridocarpus)	ayahuasca plant (genus Banisteriopsis)												
bzxm	malpighiaceae 3	amazonvine (genus Stigmaphyllon)	other malpighiaceous plant (other Malpighiaceae)	n/a												
bzxn	elatinaceae & centroplacaceae	waterwort (genus Elatine)	bergia (genus Bergia)	centroplacaceous plant (genera Bhesa, Centroplacus)												
bzxw	malpighiaceae 2	peanut butter fruit, friar’s plum, usama/bush tomato paste, yellow usama/yellow coffee of the bush (genus Bunchosia)	locustberry, serret, nance/golden spoon, clam cherry/gooseberry (genus Byrsonima)	gold shower/shower-of-gold/slender goldshower/thryallis (genus Galphimia)												
bzy	chipmunk/marmot/prarie dog	🐿️ chipmunk (genera Tamias, Eutamias, Neotamias)	marmot (genus Marmota)	prarie dog (genus Cynomys)												
bžy	river dolphin	Asian river dolphin (genera Platanista, Lipotes)	South American river dolphin (genus Inia)	La Plata dolphin/franciscana (genus Pontoporia)												
bzz	corbiculate apid bee	🐝 honeybee (genus Apis, tribe Meliponini)	bumblebee (genus Bombus)	orchid bee (Euglossini)												
bzzb	chalcid wasp	fig wasp (Agaonidae)	chalcid wasp (Chalcididae)	seed chalcid wasp (Eurytomidae)												
bzzbl	Campomelic dysplasia	state of being in Campomelic dysplasia	state of manifesting/displaying a symptom of Campomelic dysplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Campomelic dysplasia												
bzzbr	Cockayne syndrome	state of being in Cockayne syndrome	state of manifesting/displaying a symptom of Cockayne syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Cockayne syndrome												
bzzbř	Cranio-lenticulo-sutural dysplasia	state of being in Cranio-lenticulo-sutural dysplasia	state of manifesting/displaying a symptom of Cranio-lenticulo-sutural dysplasia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Cranio-lenticulo-sutural dysplasia												
bzzbw	Down Syndrome	state of being in Down Syndrome	state of manifesting/displaying a symptom of Down Syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Down Syndrome												
bzzby	Epidermolysis bullosa	state of being in Epidermolysis bullosa	state of manifesting/displaying a symptom of Epidermolysis bullosa	state of physical or mental incapacity/impairment/weakness/decrepitude due to Epidermolysis bullosa												
bzzd	parasitoid (non-aculeate) wasp 1	fairy wasp/fairyfly (Mymaridae)	chalcidoid wasp (Aphelinidae, Encyrtidae, Eucharitidae, Eulophidae, Eupelmidae, Leucospidae, Ormyridae, Perilampidae, Pteromalidae, Rotoitidae, Signiphoridae, Tanaostigmatidae, Tetracampidae, Torymidae, Trichogrammatidae)	ceraphronid wasp (Ceraphronidae, Megaspilidae)												
bzzḑ	chrysidoid/vespoid wasp 2	velvet wasp/velvet ant (Mutillidae)	spider wasp/spider-hunting wasp, tarantula hawk (Pompilidae)	other vespoid wasp (Bradynobaenidae, Chyphotidae, Myrmosidae, Rhopalosomatidae, Sapygidae, Scoliidae, Sierolomorphidae, Thynnidae, Tiphiidae)												
bzzdl	Feingold syndrome	state of being in Feingold syndrome	state of manifesting/displaying a symptom of Feingold syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Feingold syndrome												
bzzdr	Glutaric aciduria, type I and type 2	state of being in Glutaric aciduria, type I and type 2	state of manifesting/displaying a symptom of Glutaric aciduria, type I and type 2	state of physical or mental incapacity/impairment/weakness/decrepitude due to Glutaric aciduria, type I and type 2												
bzzdř	Hereditary hemorrhagic telangiectasia (Osler–Weber–Rendu syndrome)	state of being in Hereditary hemorrhagic telangiectasia (Osler–Weber–Rendu syndrome)	state of manifesting/displaying a symptom of Hereditary hemorrhagic telangiectasia (Osler–Weber–Rendu syndrome)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hereditary hemorrhagic telangiectasia (Osler–Weber–Rendu syndrome)												
bzzdw	Hunter syndrome	state of being in Hunter syndrome	state of manifesting/displaying a symptom of Hunter syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Hunter syndrome												
bzzdy	Immunodeficiency–centromeric instability–facial anomalies syndrome (ICF syndrome)	state of being in Immunodeficiency–centromeric instability–facial anomalies syndrome (ICF syndrome)	state of manifesting/displaying a symptom of Immunodeficiency–centromeric instability–facial anomalies syndrome (ICF syndrome)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Immunodeficiency–centromeric instability–facial anomalies syndrome (ICF syndrome)												
bzzfl	Kosaki overgrowth syndrome	state of being in Kosaki overgrowth syndrome	state of manifesting/displaying a symptom of Kosaki overgrowth syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Kosaki overgrowth syndrome												
bzzfr	Malignant hyperthermia	state of being in Malignant hyperthermia	state of manifesting/displaying a symptom of Malignant hyperthermia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Malignant hyperthermia												
bzzfř	Metachromatic leukodystrophy	state of being in Metachromatic leukodystrophy	state of manifesting/displaying a symptom of Metachromatic leukodystrophy	state of physical or mental incapacity/impairment/weakness/decrepitude due to Metachromatic leukodystrophy												
bzzfw	Multiple endocrine neoplasia type 2	state of being in Multiple endocrine neoplasia type 2	state of manifesting/displaying a symptom of Multiple endocrine neoplasia type 2	state of physical or mental incapacity/impairment/weakness/decrepitude due to Multiple endocrine neoplasia type 2												
bzzfy	Nonketotic hyperglycinemia	state of being in Nonketotic hyperglycinemia	state of manifesting/displaying a symptom of Nonketotic hyperglycinemia	state of physical or mental incapacity/impairment/weakness/decrepitude due to Nonketotic hyperglycinemia												
bzzg	parasitoid (non-aculeate) wasp 2	gall wasp/gallfly (Cynipidae)	cynipoid wasp (Austrocynipidae, Figitidae, Ibaliidae, Liopteridae)	diaprioid wasp (Austroniidae, Diapriidae, Maamingidae, Monomachidae)												
bzzgl	1p36 deletion syndrome	state of being in 1p36 deletion syndrome	state of manifesting/displaying a symptom of 1p36 deletion syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to 1p36 deletion syndrome												
bzzgr	Achondrogenesis type II	state of being in Achondrogenesis type II	state of manifesting/displaying a symptom of Achondrogenesis type II	state of physical or mental incapacity/impairment/weakness/decrepitude due to Achondrogenesis type II												
bzzgř	Alexander disease	state of being in Alexander disease	state of manifesting/displaying a symptom of Alexander disease	state of physical or mental incapacity/impairment/weakness/decrepitude due to Alexander disease												
bzzgw	Androgen insensitivity syndrome	state of being in Androgen insensitivity syndrome	state of manifesting/displaying a symptom of Androgen insensitivity syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Androgen insensitivity syndrome												
bzzgy	biotinidase deficiency	state of being in biotinidase deficiency	state of manifesting/displaying a symptom of biotinidase deficiency	state of physical or mental incapacity/impairment/weakness/decrepitude due to biotinidase deficiency												
bzzk	parasitoid (non-aculeate) wasp 5	crown wasp (Stephanidae)	proctotrupoid wasp (Heloridae, Pelecinidae, Peradeniidae, Proctorenyxidae, Proctotrupidae, Roproniidae, Vanhorniidae)	platygastroid wasp (Platygastridae, Scelionidae, Geoscelionidae, Janzenellidae, Neuroscelionidae, Nixoniidae, Sparasionidae)												
bzzl	sphecid (thread-waisted) wasp	mud wasp, mud dauber (Sceliphrinae)	cricket-hunter wasp (genus Chlorion)	thread-waisted wasp, sand wasp (Ammophilinae, Sphecinae)												
bzzm	vespine wasp	common wasp, red cuckoo wasp, red wasp, oriental hornet (genus Vespula)	yellowjacket, tree wasp, Saxon wasp, Norwegian wasp, bald-face hornet (genus Dolichovespula)	night wasp/night hornet (genus Provespa)												
bzzmw	Tuberous sclerosis complex (TSC)	state of being in Tuberous sclerosis complex (TSC)	state of manifesting/displaying a symptom of Tuberous sclerosis complex (TSC)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Tuberous sclerosis complex (TSC)												
bzzmy	Williams syndrome	state of being in Williams syndrome	state of manifesting/displaying a symptom of Williams syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Williams syndrome												
bzzn	vespid wasp	potter wasp (Eumeninae, Zethinae)	paper wasp (Polistinae)	hover wasp (Stenogastrinae)												
bzzň	chrysidoid/vespoid wasp 1	cuckoo wasp, emerald wasp, jewel wasp, gold wasp, ruby wasp (Chrysididae)	chrysidoid wasp (Bethylidae, Dryinidae, Embolemidae, Plumariidae, Sclerogibbidae, Scolebythidae)	pollen wasp (Masarinae, Euparagiinae, Gayellinae)												
bzznw	X-linked sideroblastic anemia (XLSA)	state of being in X-linked sideroblastic anemia (XLSA)	state of manifesting/displaying a symptom of X-linked sideroblastic anemia (XLSA)	state of physical or mental incapacity/impairment/weakness/decrepitude due to X-linked sideroblastic anemia (XLSA)												
bzzp	parasitoid (non-aculeate) wasp 3	ensign wasp/nightshade wasp/hatchet wasp (Evaniidae)	evanioid wasp, trigonaloid wasp (Aulacidae, Gasteruptiidae, Trigonalidae)	megalyrid wasp (Megalyridae)												
bzzr	sphecoid wasp	cockroach wasp (Ampulicidae)	predatory wasp, bee-hunter, bee-killer wasp, ant-queen kidnapping wasp (Philanthidae)	aphid wasp (Pemphredonidae, Psenidae, Ammoplanidae)												
bzzř	bembicine wasp	sand wasp (Bembicinae)	kleptoparasitic bembicid wasp (Nyssoninae)	astatid wasp (Astatidae)												
bzzt	parasitoid (non-aculeate) wasp 4	ichneumon wasp, scorpion wasp (Ichneumonidae)	braconid wasp, mummy-wasp (Braconidae)	false fairy wasp (Mymarommatidae)												
bzzv	cabronid wasp	digger wasp, square-headed wasp (Crabronidae)	mellinid wasp (genera Mellinus, Xenosphex)	n/a												
bzzvl	PCC deficiency (propionic acidemia)	state of being in PCC deficiency (propionic acidemia)	state of manifesting/displaying a symptom of PCC deficiency (propionic acidemia)	state of physical or mental incapacity/impairment/weakness/decrepitude due to PCC deficiency (propionic acidemia)												
bzzvr	Polycystic ovary syndrome (PCOS)	state of being in Polycystic ovary syndrome (PCOS)	state of manifesting/displaying a symptom of Polycystic ovary syndrome (PCOS)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Polycystic ovary syndrome (PCOS)												
bzzvř	Retinitis pigmentosa	state of being in Retinitis pigmentosa	state of manifesting/displaying a symptom of Retinitis pigmentosa	state of physical or mental incapacity/impairment/weakness/decrepitude due to Retinitis pigmentosa												
bzzvw	Shprintzen–Goldberg syndrome	state of being in Shprintzen–Goldberg syndrome	state of manifesting/displaying a symptom of Shprintzen–Goldberg syndrome	state of physical or mental incapacity/impairment/weakness/decrepitude due to Shprintzen–Goldberg syndrome												
bzzvy	Spinocerebellar ataxia (types 1–29)	state of being in Spinocerebellar ataxia (types 1–29)	state of manifesting/displaying a symptom of Spinocerebellar ataxia (types 1–29)	state of physical or mental incapacity/impairment/weakness/decrepitude due to Spinocerebellar ataxia (types 1–29)												
bzzw	non-corbiculate apid bee	digger bee, long-horned bee, non-corbiculate apine bee (Apinae except Corbiculata)	cuckoo bee (Nomadinae)	carpenter bee (Xylocopinae)												
bzzx	vespa (hornet)	common European hornet (Vespa crabro)	Asian giant hornet/murder hornet (Vespa mandarinia)	other hornet (other Vespa)												
bzzy	non-apid bee	mason bee, leafcutter bee, carder bee (Megachilidae)	plasterer bee/polyester bee, yellow-faced bee (Colletidae)	non-apid bee, sweat bee, mining bee (Andrenidae, Halictidae, Melittidae, Stenotritidae)												
c	hearing/sound	hearing a sound	inner ear	one’s aural faculty												
č	be/equivalence	ontological identity	functional equivalence	epistemological synonymousness												
cb	motive/intention	having a motive/basis for one's intention	having a purpose/intention/goal	having an incentive/stimulus												
čb	dare/audacity/dauntlessness	daringness, like taking a risk	audacity/having the nerve to do something	"dauntlessness, ""devil-may-care"""												
çb	terrestrial topography/geographic feature/arability	terrestrial land feature	area of arable land	area of non-arable land												
